Block,Floor,Room Number,Room Name
Chanakya,Ground,,Food and Beverage Lab
Chanakya,Ground,,Conference Hall
Chanakya,Ground,,Food Production Lab
Chanakya,Ground,LT-16,
Chanakya,Ground,,Male Washroom
Chanakya,First,,Business Lab-I
Chanakya,First,,Staff Room
Chanakya,First,,Seminar Hall
Chanakya,First,LT-18,
Chanakya,First,,Female Washroom
Chanakya,Second,,Library
Chanakya,Second,,Computer Lab
Chanakya,Second,LT-3,
Chanakya,Second,,Male Washroom
Chanakya,Third,TR-10,
